filename,local_time
KDAX20220101_150717_V06,20220101_070717
KDAX20220101_151655_V06,20220101_071655
KDAX20220101_152632_V06,20220101_072632
KDAX20220101_153609_V06,20220101_073609
KDAX20220101_154547_V06,20220101_074547
KDAX20220101_160502_V06,20220101_080502
KDAX20220101_161440_V06,20220101_081440
KDAX20220101_162418_V06,20220101_082418
KDAX20220101_163355_V06,20220101_083355
KDAX20220101_164332_V06,20220101_084332
KDAX20220102_150506_V06,20220102_070506
KDAX20220102_151444_V06,20220102_071444
KDAX20220102_152421_V06,20220102_072421
KDAX20220102_153359_V06,20220102_073359
KDAX20220102_154337_V06,20220102_074337
KDAX20220102_160252_V06,20220102_080252
KDAX20220102_161230_V06,20220102_081230
KDAX20220102_162207_V06,20220102_082207
KDAX20220102_163145_V06,20220102_083145
KDAX20220102_164123_V06,20220102_084123
KDAX20220103_150254_V06,20220103_070254
KDAX20220103_151231_V06,20220103_071231
KDAX20220103_152209_V06,20220103_072209
KDAX20220103_152636_V06,20220103_072636
KDAX20220103_153114_V06,20220103_073114
KDAX20220103_153551_V06,20220103_073551
KDAX20220103_154029_V06,20220103_074029
KDAX20220103_154507_V06,20220103_074507
KDAX20220103_154945_V06,20220103_074945
KDAX20220103_155423_V06,20220103_075423
KDAX20220103_160337_V06,20220103_080337
KDAX20220103_160814_V06,20220103_080814
KDAX20220103_161252_V06,20220103_081252
KDAX20220103_161729_V06,20220103_081729
KDAX20220103_162207_V06,20220103_082207
KDAX20220103_162644_V06,20220103_082644
KDAX20220103_163121_V06,20220103_083121
KDAX20220103_163558_V06,20220103_083558
KDAX20220103_164035_V06,20220103_084035
KDAX20220103_164512_V06,20220103_084512
KDAX20220103_164949_V06,20220103_084949
KDAX20220104_145529_V06,20220104_065529
KDAX20220104_150443_V06,20220104_070443
KDAX20220104_150920_V06,20220104_070920
KDAX20220104_151344_V06,20220104_071344
KDAX20220104_151821_V06,20220104_071821
KDAX20220104_152258_V06,20220104_072258
KDAX20220104_152723_V06,20220104_072723
KDAX20220104_153200_V06,20220104_073200
