track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
2,KTLX20221104_125616_V06,2.672,0.693,252.270,307.544,31.501,-97.540,35.299,15750.438,24161.316,20221104_075616
2,KTLX20221104_130353_V06,10.289,0.158,253.372,292.237,32.847,-97.534,35.368,16423.508,23634.905,20221104_080353
4,KTLX20221105_125425_V06,-0.140,0.319,398.994,329.526,11.985,-96.734,35.199,5992.527,51651.462,20221105_075425
4,KTLX20221105_130127_V06,6.894,0.758,403.051,326.770,26.595,-96.712,35.211,13297.524,53235.454,20221105_080127
4,KTLX20221105_130504_V06,10.510,0.082,409.119,328.185,33.423,-96.678,35.205,16711.483,56350.129,20221105_080504
2,KTLX20221105_124021_V06,-14.206,0.223,255.827,329.056,6.381,-97.520,35.202,3190.409,26436.574,20221105_074021
2,KTLX20221105_124723_V06,-7.173,0.066,256.509,330.471,17.375,-97.516,35.195,8687.723,26551.606,20221105_074723
3,KTLX20221105_124723_V06,-7.173,0.151,346.115,379.453,17.509,-97.025,34.975,8754.570,45933.278,20221105_074723
3,KTLX20221105_125425_V06,-0.140,0.107,346.015,379.466,29.004,-97.026,34.975,14502.133,45913.439,20221105_075425
5,KTLX20221105_125425_V06,-0.140,0.093,241.638,188.402,5.598,-97.600,35.836,2799.036,62968.654,20221105_075425
6,KTLX20221105_125425_V06,-0.140,0.078,314.700,396.344,13.489,-97.197,34.899,6744.522,48729.663,20221105_075425
9,KTLX20221105_125425_V06,-0.140,0.058,417.437,396.761,13.735,-96.635,34.895,6867.641,76082.502,20221105_075425
10,KTLX20221105_130504_V06,10.510,0.083,225.054,344.051,26.024,-97.689,35.134,13012.054,43466.740,20221105_080504
11,KTLX20221105_131217_V06,17.727,0.070,354.815,405.404,38.999,-96.978,34.858,19499.460,59402.754,20221105_081217
1,KTLX20221106_123941_V06,-15.838,0.186,254.477,324.889,6.492,-97.528,35.221,3246.038,25941.492,20221106_063941
1,KTLX20221106_124628_V06,-9.055,0.075,253.443,324.312,15.493,-97.533,35.223,7746.404,26261.465,20221106_064628
1,KTLX20221106_125325_V06,-2.105,0.682,255.687,320.172,30.055,-97.521,35.242,15027.625,24344.259,20221106_065325
3,KTLX20221106_125325_V06,-2.105,0.306,350.197,376.198,26.513,-97.003,34.989,13256.704,45623.132,20221106_065325
1,KTLX20221107_123808_V06,-18.357,0.073,376.081,507.566,24.067,-96.864,34.397,12033.430,110535.087,20221107_063808
1,KTLX20221110_124946_V06,-9.647,0.295,316.460,382.059,5.819,-97.187,34.963,2909.266,41846.951,20221110_064946
1,KTLX20221110_130315_V06,3.836,0.137,324.284,389.797,26.949,-97.145,34.928,13474.646,46511.462,20221110_070315
3,KTLX20221110_130315_V06,3.836,0.684,213.401,336.967,23.743,-97.753,35.166,11871.424,47079.675,20221110_070315
3,KTLX20221110_131000_V06,10.586,0.077,215.552,336.728,32.587,-97.741,35.167,16293.386,46044.442,20221110_071000
4,KTLX20221114_124127_V06,-21.889,0.089,18.282,434.615,29.054,-98.815,34.717,14527.056,156113.867,20221114_064127
4,KTLX20221114_124810_V06,-15.172,0.050,20.805,438.023,39.841,-98.801,34.701,19920.719,155724.372,20221114_064810
2,KTLX20221114_123444_V06,-28.606,0.075,204.451,356.810,2.737,-97.801,35.076,1368.603,55581.025,20221114_063444
5,KTLX20221114_130820_V06,4.994,0.245,246.550,312.910,29.670,-97.571,35.275,14835.135,27493.446,20221114_070820
6,KTLX20221114_131614_V06,12.894,0.069,25.675,420.107,44.042,-98.776,34.782,22021.183,149733.179,20221114_071614
1,KTLX20221115_131302_V06,8.711,0.237,278.216,116.087,2.062,-97.399,36.162,1030.766,92599.320,20221115_071302
3,KTLX20221115_131302_V06,8.711,0.057,285.229,343.303,15.636,-97.359,35.138,7817.862,22876.230,20221115_071302
6,KTLX20221116_131420_V06,9.027,0.055,413.780,67.533,8.633,-96.644,36.379,4316.662,129409.005,20221116_071420
6,KTLX20221116_131757_V06,12.644,0.446,413.964,68.518,14.614,-96.643,36.375,7306.906,129007.582,20221116_071757
6,KTLX20221116_132134_V06,16.261,0.644,419.339,75.858,17.547,-96.613,36.341,8773.591,126966.099,20221116_072134
6,KTLX20221116_132504_V06,19.761,0.801,427.952,85.607,17.526,-96.565,36.297,8763.231,124835.834,20221116_072504
6,KTLX20221116_132943_V06,24.411,0.637,436.098,93.094,20.407,-96.520,36.263,10203.477,123827.424,20221116_072943
6,KTLX20221116_133313_V06,27.911,0.058,440.728,97.893,24.683,-96.495,36.241,12341.453,123137.679,20221116_073313
9,KTLX20221116_132134_V06,16.261,0.052,291.183,373.675,25.021,-97.326,35.001,12510.300,37100.162,20221116_072134
9,KTLX20221116_132504_V06,19.761,0.053,291.369,374.040,30.640,-97.325,34.999,15320.197,37270.617,20221116_072504
9,KTLX20221116_132943_V06,24.411,0.071,296.123,381.611,32.566,-97.299,34.965,16283.042,40851.604,20221116_072943
9,KTLX20221116_133313_V06,27.911,-1.000,299.031,386.251,34.822,-97.283,34.944,17410.898,43128.261,20221116_073313
9,KTLX20221116_133645_V06,31.444,0.225,313.625,372.823,71.899,-97.203,35.005,35949.585,37043.089,20221116_073645
1,KTLX20221116_123907_V06,-26.189,0.056,401.139,497.960,16.769,-96.727,34.440,8384.289,111150.094,20221116_063907
5,KTLX20221116_131420_V06,9.027,0.062,277.418,334.034,53.910,-97.401,35.180,26955.072,20422.413,20221116_071420
8,KTLX20221116_132134_V06,16.261,0.077,369.938,87.452,14.853,-96.888,36.290,7426.643,111879.113,20221116_072134
1,KTLX20221117_124002_V06,-26.255,0.363,298.096,503.489,10.485,-97.288,34.416,5242.455,101748.946,20221117_064002
1,KTLX20221117_124704_V06,-19.222,0.071,300.386,502.830,18.247,-97.275,34.419,9123.399,101415.078,20221117_064704
1,KTLX20221119_130901_V06,0.767,0.087,270.455,194.013,4.936,-97.441,35.811,2468.174,55013.950,20221119_070901
2,KTLX20221119_131544_V06,7.484,0.053,422.459,384.332,16.406,-96.607,34.951,8203.091,74344.028,20221119_071544
3,KTLX20221119_132241_V06,14.434,0.123,196.038,160.912,2.415,-97.854,35.958,1207.413,86824.057,20221119_072241
5,KTLX20221119_141204_V06,63.817,0.091,188.422,311.551,7.895,-97.891,35.279,3947.491,56087.162,20221119_081204
1,KTLX20221120_130828_V06,-0.760,0.164,251.667,302.075,24.459,-97.543,35.323,12229.414,24189.010,20221120_070828
1,KTLX20221120_131512_V06,5.973,0.083,254.279,302.569,35.295,-97.529,35.321,17647.730,22896.604,20221120_071512
2,KTLX20221121_130034_V06,-9.634,0.072,255.118,296.822,10.801,-97.524,35.347,5400.587,22497.241,20221121_070034
2,KTLX20221121_130738_V06,-2.568,-1.000,255.118,296.822,22.037,-97.524,35.347,11018.587,22497.241,20221121_070738
2,KTLX20221121_131441_V06,4.482,0.222,261.956,320.150,32.878,-97.486,35.242,16438.940,21525.334,20221121_071441
1,KTLX20221122_130816_V06,-2.905,0.087,260.957,245.318,10.959,-97.493,35.579,5479.725,33594.625,20221122_070816
1,KTLX20221124_124319_V06,-29.780,0.227,191.690,312.118,8.418,-97.873,35.277,4208.923,54492.859,20221124_064319
2,KTLX20221125_132105_V06,7.032,0.600,364.325,68.095,17.575,-96.919,36.378,8787.560,120330.465,20221125_072105
2,KTLX20221125_132748_V06,13.749,0.701,365.265,67.137,29.931,-96.914,36.382,14965.551,120917.890,20221125_072748
2,KTLX20221125_133430_V06,20.449,0.547,367.593,69.143,38.383,-96.901,36.373,19191.513,120274.684,20221125_073430
2,KTLX20221125_134113_V06,27.166,0.281,367.328,82.593,39.108,-96.903,36.312,19553.892,113796.785,20221125_074113
2,KTLX20221125_134756_V06,33.882,0.582,356.945,88.776,49.989,-96.961,36.284,24994.257,109382.692,20221125_074756
2,KTLX20221125_140122_V06,47.316,0.184,351.999,98.348,59.062,-96.988,36.241,29531.007,104124.433,20221125_080122
1,KTLX20221125_130738_V06,-6.418,0.101,359.176,316.068,15.004,-96.952,35.260,7502.010,30659.345,20221125_070738
2,KTLX20221126_131753_V06,2.886,0.074,47.318,155.478,68.011,-98.678,35.976,34005.455,145546.210,20221126_071753
3,KTLX20221127_130849_V06,-7.120,0.257,401.175,387.534,18.442,-96.724,34.937,9221.241,66892.976,20221127_070849
3,KTLX20221127_131532_V06,-0.403,0.079,401.145,383.056,25.959,-96.724,34.957,12979.725,65438.373,20221127_071532
3,KTLX20221127_132235_V06,6.647,0.159,406.729,401.571,29.257,-96.694,34.874,14628.391,73667.579,20221127_072235
1,KTLX20221127_124835_V06,-27.353,0.086,190.140,310.183,6.617,-97.881,35.286,3308.466,55165.558,20221127_064835
5,KTLX20221127_131532_V06,-0.403,0.050,410.316,502.262,2.581,-96.678,34.420,1290.360,115194.823,20221127_071532
3,KTLX20221128_130859_V06,-7.884,0.124,252.116,303.250,22.371,-97.541,35.318,11185.747,23997.306,20221128_070859
3,KTLX20221128_131556_V06,-0.934,0.393,251.956,303.626,31.587,-97.542,35.316,15793.743,24090.153,20221128_071556
3,KTLX20221128_132259_V06,6.116,0.091,251.547,300.804,34.875,-97.544,35.329,17437.386,24229.868,20221128_072259
4,KTLX20221128_131556_V06,-0.934,0.251,209.970,342.132,19.717,-97.771,35.142,9858.406,49700.215,20221128_071556
4,KTLX20221128_132259_V06,6.116,0.327,212.301,344.440,28.256,-97.759,35.132,14127.951,49158.201,20221128_072259
2,KTLX20221128_124758_V06,-28.900,0.061,367.195,479.809,3.771,-96.912,34.522,1885.500,95977.357,20221128_064758
3,KTLX20221130_134249_V06,24.119,0.570,403.865,72.759,24.558,-96.699,36.356,12279.129,124926.565,20221130_074249
3,KTLX20221130_134940_V06,30.969,0.149,403.069,75.582,36.250,-96.703,36.343,18125.055,123477.338,20221130_074940
1,KTLX20221130_131538_V06,-3.065,0.127,256.145,317.304,22.024,-97.518,35.255,11012.024,23572.681,20221130_071538
2,KTLX20221130_132220_V06,3.635,0.163,208.225,355.294,24.036,-97.781,35.083,12018.061,53572.479,20221130_072220
1,KTLX20221201_131553_V06,-3.714,0.666,248.353,299.536,22.859,-97.562,35.335,11429.289,25824.680,20221201_071553
1,KTLX20221201_132245_V06,3.153,0.170,248.547,294.883,30.331,-97.561,35.356,15165.450,25853.223,20221201_072245
1,KTLX20221203_132436_V06,3.242,0.068,174.402,365.536,10.653,-97.966,35.036,5326.731,70833.937,20221203_072436
1,KTLX20221204_131501_V06,-7.203,0.266,250.028,313.499,11.565,-97.552,35.272,5782.381,25881.404,20221204_071501
1,KTLX20221204_131830_V06,-3.719,0.695,250.713,313.720,18.038,-97.548,35.271,9018.938,25580.452,20221204_071830
1,KTLX20221204_132159_V06,-0.236,0.485,252.919,313.407,24.533,-97.536,35.272,12266.253,24476.443,20221204_072159
1,KTLX20221204_132528_V06,3.247,0.337,259.014,313.795,30.085,-97.503,35.271,15042.584,21622.629,20221204_072528
1,KTLX20221204_132852_V06,6.647,0.388,257.586,316.033,31.508,-97.511,35.261,15753.985,22671.512,20221204_072852
3,KTLX20221204_132528_V06,3.247,0.050,36.338,476.313,34.694,-98.713,34.530,17346.760,158590.581,20221204_072528
1,KTLX20221205_130756_V06,-15.133,0.111,190.863,308.936,6.923,-97.877,35.291,3461.668,54751.324,20221205_070756
2,KTLX20221205_131443_V06,-8.349,0.073,265.461,336.414,37.493,-97.467,35.169,18746.510,25094.337,20221205_071443
3,KTLX20221205_132126_V06,-1.633,0.210,247.543,299.009,22.351,-97.566,35.337,11175.314,26233.108,20221205_072126
4,KTLX20221206_132400_V06,0.102,0.068,254.649,323.253,19.030,-97.527,35.228,9515.141,25482.264,20221206_072400
4,KTLX20221206_133055_V06,7.019,0.054,259.063,322.841,30.420,-97.502,35.230,15210.050,23439.165,20221206_073055
1,KTLX20221206_130312_V06,-20.698,0.145,189.149,309.606,5.119,-97.887,35.288,2559.658,55633.040,20221206_070312
1,KTLX20221207_132055_V06,-3.798,0.310,249.937,310.614,13.181,-97.553,35.285,6590.374,25587.914,20221207_072055
1,KTLX20221207_132419_V06,-0.398,0.841,251.275,309.345,17.489,-97.545,35.291,8744.299,24806.686,20221207_072419
1,KTLX20221207_132743_V06,3.002,0.776,253.119,310.802,24.112,-97.535,35.284,12055.806,24054.627,20221207_072743
1,KTLX20221207_133107_V06,6.402,0.752,251.473,311.937,29.397,-97.544,35.279,14698.523,24986.741,20221207_073107
3,KTLX20221207_135129_V06,26.769,0.085,30.682,523.382,47.523,-98.741,34.317,23761.620,174951.280,20221207_075129
3,KTLX20221207_135505_V06,30.369,0.081,29.685,524.864,51.977,-98.746,34.311,25988.299,175808.048,20221207_075505
3,KTLX20221207_140154_V06,37.186,0.070,26.587,512.779,40.269,-98.764,34.365,20134.401,173226.673,20221207_080154
1,KTLX20221209_131635_V06,-9.714,0.691,248.931,315.634,9.705,-97.558,35.262,4852.322,26703.952,20221209_071635
1,KTLX20221209_132011_V06,-6.114,0.065,248.914,315.504,14.715,-97.558,35.263,7357.437,26693.377,20221209_072011
1,KTLX20221209_132636_V06,0.303,0.541,252.044,314.235,27.907,-97.541,35.269,13953.565,25012.048,20221209_072636
1,KTLX20221209_133331_V06,7.220,0.216,250.524,323.577,33.887,-97.549,35.226,16943.257,27403.276,20221209_073331
3,KTLX20221209_132636_V06,0.303,0.205,177.864,413.783,7.638,-97.945,34.818,3818.781,83462.146,20221209_072636
4,KTLX20221209_133331_V06,7.220,0.212,387.616,368.735,19.566,-96.797,35.022,9783.001,55680.147,20221209_073331
7,KTLX20221210_134547_V06,18.722,0.107,23.607,531.565,38.942,-98.778,34.280,19471.153,180288.233,20221210_074547
1,KTLX20221211_130923_V06,-18.425,0.392,356.129,344.877,6.463,-96.970,35.130,3231.270,35931.891,20221211_070923
2,KTLX20221211_130923_V06,-18.425,0.272,187.953,308.191,5.029,-97.893,35.295,2514.656,56173.039,20221211_070923
1,KTLX20221212_132138_V06,-6.902,0.065,238.966,315.301,16.933,-97.613,35.264,8466.610,31461.284,20221212_072138
1,KTLX20221212_132826_V06,-0.102,0.396,241.368,311.522,25.573,-97.600,35.281,12786.707,29876.628,20221212_072826
1,KTLX20221212_133509_V06,6.615,0.598,246.233,304.609,29.210,-97.573,35.312,14604.992,26981.977,20221212_073509
2,KTLX20221212_132826_V06,-0.102,0.079,263.520,335.992,25.034,-97.478,35.171,12517.176,25623.146,20221212_072826
3,KTLX20221213_133001_V06,0.775,0.078,251.510,314.320,12.594,-97.544,35.268,6296.768,25279.910,20221213_073001
3,KTLX20221213_133612_V06,6.958,0.116,253.264,313.521,22.516,-97.534,35.272,11257.772,24326.195,20221213_073612
