track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KTYX20200103_121320_V06,-23.340,0.328,288.623,291.041,8.849,-75.751,43.796,4424.587,7240.447,20200103_071320
3,KTYX20200103_130030_V06,23.827,0.053,43.653,420.101,66.756,-77.257,43.204,33378.128,141543.456,20200103_080030
2,KTYX20200106_135119_V06,74.838,0.097,26.337,308.921,36.384,-77.378,43.703,18192.083,136904.246,20200106_085119
2,KTYX20200106_140336_V06,87.122,0.052,33.260,310.241,48.761,-77.335,43.698,24380.711,133468.250,20200106_090336
2,KTYX20200108_122502_V06,-11.106,0.088,73.874,307.950,79.912,-77.083,43.711,39956.116,113132.870,20200108_072502
2,KTYX20200108_123110_V06,-4.972,0.232,75.953,308.058,86.108,-77.070,43.711,43053.761,112096.118,20200108_073110
4,KTYX20200108_130137_V06,25.478,0.071,47.326,186.867,56.232,-77.262,44.254,28116.226,138422.611,20200108_080137
8,KTYX20200108_134349_V06,67.678,0.070,44.717,354.959,62.972,-77.258,43.498,31486.217,130566.026,20200108_084349
6,KTYX20200110_133415_V06,58.617,0.102,31.787,253.965,48.850,-77.351,43.951,24424.904,136067.713,20200110_083415
6,KTYX20200110_133856_V06,63.300,0.164,33.529,252.590,56.091,-77.340,43.957,28045.535,135327.668,20200110_083856
6,KTYX20200110_134335_V06,67.950,0.065,40.886,254.447,58.039,-77.294,43.949,29019.488,131543.765,20200110_084335
7,KTYX20200110_133415_V06,58.617,0.057,244.943,322.751,22.640,-76.021,43.653,11319.817,29786.370,20200110_083415
7,KTYX20200110_133856_V06,63.300,0.187,245.290,321.938,30.510,-76.019,43.657,15255.135,29472.081,20200110_083856
8,KTYX20200110_134815_V06,72.617,0.227,28.331,183.233,33.014,-77.381,44.269,16506.763,147850.084,20200110_084815
8,KTYX20200110_135255_V06,77.283,-1.000,28.331,183.233,40.434,-77.381,44.269,20216.763,147850.084,20200110_085255
8,KTYX20200110_140423_V06,88.750,0.054,45.266,161.409,60.281,-77.278,44.368,30140.369,144997.080,20200110_090423
4,KTYX20200110_132920_V06,53.700,0.052,42.012,203.209,74.322,-77.293,44.180,37160.797,137773.496,20200110_082920
3,KTYX20200117_131437_V06,42.024,0.075,304.510,295.990,25.234,-75.652,43.774,12617.165,3017.584,20200117_081437
3,KTYX20200118_130657_V06,34.947,0.053,21.315,257.191,36.150,-77.416,43.935,18074.841,140977.120,20200118_080657
3,KTYX20200118_131401_V06,42.014,0.051,22.887,247.060,44.015,-77.407,43.981,22007.606,141062.350,20200118_081401
3,KTYX20200118_132106_V06,49.097,-1.000,24.294,237.994,52.262,-77.399,44.022,26130.836,141296.327,20200118_082106
3,KTYX20200118_132811_V06,56.181,0.118,34.252,211.058,60.319,-77.341,44.144,30159.707,140118.340,20200118_082811
3,KTYX20200118_133515_V06,63.247,-1.000,40.310,192.287,68.444,-77.305,44.229,34221.875,140571.040,20200118_083515
3,KTYX20200118_134220_V06,70.331,0.089,58.265,195.985,73.246,-77.192,44.214,36623.119,131581.739,20200118_084220
3,KTYX20200118_134923_V06,77.381,0.063,61.819,192.098,74.423,-77.171,44.232,37211.641,130741.330,20200118_084923
2,KTYX20200118_130657_V06,34.947,0.097,26.787,470.187,37.043,-77.355,42.978,18521.564,160941.794,20200118_080657
2,KTYX20200118_131401_V06,42.014,0.084,29.164,472.862,47.876,-77.340,42.966,23937.803,160649.792,20200118_081401
5,KTYX20200118_133515_V06,63.247,0.178,66.935,194.399,74.168,-77.138,44.222,37084.198,127936.544,20200118_083515
4,KTYX20200119_124626_V06,15.059,0.070,295.545,146.623,21.332,-75.708,44.446,10666.241,76720.906,20200119_074626
6,KTYX20200126_130154_V06,35.942,0.083,25.918,325.476,30.751,-77.378,43.629,15375.515,137631.530,20200126_080154
6,KTYX20200126_130628_V06,40.508,0.204,26.304,325.866,37.151,-77.376,43.627,18575.505,137457.640,20200126_080628
6,KTYX20200126_131100_V06,45.042,0.191,28.342,326.317,38.337,-77.363,43.625,19168.300,136464.735,20200126_081100
6,KTYX20200126_131533_V06,49.592,0.139,33.747,323.793,40.949,-77.330,43.637,20474.581,133656.931,20200126_081533
6,KTYX20200126_132006_V06,54.142,-1.000,37.846,322.290,43.501,-77.305,43.644,21750.282,131549.832,20200126_082006
6,KTYX20200126_132439_V06,58.692,-1.000,41.945,320.787,46.052,-77.279,43.651,23025.983,129445.249,20200126_082439
