track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
3,KTLX20220112_134000_V06,4,2.505,1.200,16556,0,0.619
3,KTLX20220112_134000_V06,5,3.516,1.200,16563,0,0.546
3,KTLX20220112_134000_V06,6,4.482,1.200,16577,0,0.551
1,KTLX20220112_131108_V06,0,0.483,1.200,99,0,352.308
1,KTLX20220112_131108_V06,2,1.494,1.200,98,0,0.003
1,KTLX20220112_131108_V06,4,2.505,1.200,48,0,0.003
1,KTLX20220112_131108_V06,5,3.516,1.200,49,0,0.003
1,KTLX20220112_131108_V06,6,4.482,1.200,48,0,0.003
1,KTLX20220113_131515_V06,0,0.483,1.200,1197,9,1986.263
1,KTLX20220113_131515_V06,2,1.494,1.200,1199,0,7.982
1,KTLX20220113_131515_V06,4,2.505,1.200,598,0,1.431
1,KTLX20220113_131515_V06,5,3.516,1.200,598,0,3.921
1,KTLX20220113_131515_V06,6,4.482,1.200,599,0,1.547
1,KTLX20220113_132451_V06,0,0.483,1.200,3857,34,3995.682
1,KTLX20220113_132451_V06,2,1.494,1.200,3854,0,57.859
1,KTLX20220113_132451_V06,4,2.505,1.200,1931,0,6.174
1,KTLX20220113_132451_V06,5,3.516,1.200,1933,0,3.583
1,KTLX20220113_132451_V06,6,4.482,1.200,1938,0,1.052
2,KTLX20220113_134405_V06,0,0.483,1.200,3505,6,3292.744
2,KTLX20220113_134405_V06,2,1.494,1.200,3501,0,10.025
2,KTLX20220113_134405_V06,4,2.505,1.200,1752,0,21.832
2,KTLX20220113_134405_V06,5,3.516,1.200,1752,0,12.720
2,KTLX20220113_140319_V06,0,0.483,1.200,12421,0,4959.039
2,KTLX20220113_140319_V06,2,1.494,1.200,12424,0,32.322
2,KTLX20220113_140319_V06,4,2.505,1.200,6218,0,22.435
2,KTLX20220113_140319_V06,5,3.516,1.200,6226,0,18.893
2,KTLX20220113_140319_V06,6,4.482,1.200,6239,0,19.157
3,KTLX20220113_142232_V06,0,0.483,1.200,3214,1,770.791
3,KTLX20220113_142232_V06,2,1.494,1.200,3221,0,19.044
3,KTLX20220113_142232_V06,4,2.505,1.200,1611,0,14.412
3,KTLX20220113_142232_V06,5,3.516,1.200,1611,0,12.252
2,KTLX20220114_132946_V06,0,0.483,1.200,14460,1142,17367.577
2,KTLX20220114_132946_V06,2,1.494,1.200,14467,0,30.145
2,KTLX20220114_132946_V06,4,2.505,1.200,7229,0,0.524
2,KTLX20220114_132946_V06,5,3.516,1.200,7233,0,0.424
2,KTLX20220114_132946_V06,6,4.482,1.200,7253,0,0.375
2,KTLX20220114_133923_V06,0,0.483,1.200,26101,63,4797.119
2,KTLX20220114_133923_V06,2,1.494,1.200,26111,0,6.019
2,KTLX20220114_133923_V06,4,2.505,1.200,13070,0,0.628
2,KTLX20220114_133923_V06,5,3.516,1.200,13078,0,0.501
2,KTLX20220114_133923_V06,6,4.482,1.200,13100,0,0.641
2,KTLX20220114_134859_V06,0,0.483,1.200,32526,51,2146.847
