filename,local_time
KTLX20200114_133521_V06,20200114_073521
KTLX20200114_134707_V06,20200114_074707
KTLX20200114_140628_V06,20200114_080628
KTLX20200114_141609_V06,20200114_081609
KTLX20200114_142548_V06,20200114_082548
KTLX20200114_143528_V06,20200114_083528
KTLX20200114_144509_V06,20200114_084509
KTLX20200114_150429_V06,20200114_090429
KTLX20200115_131104_V06,20200115_071104
KTLX20200115_132043_V06,20200115_072043
KTLX20200115_133023_V06,20200115_073023
KTLX20200115_134003_V06,20200115_074003
KTLX20200115_140122_V06,20200115_080122
KTLX20200115_141102_V06,20200115_081102
KTLX20200115_142043_V06,20200115_082043
KTLX20200115_143024_V06,20200115_083024
KTLX20200115_144004_V06,20200115_084004
KTLX20200115_144944_V06,20200115_084944
KTLX20200116_131546_V06,20200116_071546
KTLX20200116_132527_V06,20200116_072527
KTLX20200116_133508_V06,20200116_073508
KTLX20200116_134449_V06,20200116_074449
KTLX20200116_140410_V06,20200116_080410
KTLX20200116_141547_V06,20200116_081547
KTLX20200116_142528_V06,20200116_082528
KTLX20200116_143507_V06,20200116_083507
KTLX20200116_144448_V06,20200116_084448
KTLX20200116_150411_V06,20200116_090411
KTLX20200117_130724_V06,20200117_070724
KTLX20200117_131321_V06,20200117_071321
KTLX20200117_131910_V06,20200117_071910
KTLX20200117_132459_V06,20200117_072459
KTLX20200117_133048_V06,20200117_073048
KTLX20200117_133637_V06,20200117_073637
KTLX20200117_134225_V06,20200117_074225
KTLX20200117_134815_V06,20200117_074815
KTLX20200117_135404_V06,20200117_075404
KTLX20200117_140542_V06,20200117_080542
KTLX20200117_141116_V06,20200117_081116
KTLX20200117_141833_V06,20200117_081833
KTLX20200117_142341_V06,20200117_082341
KTLX20200117_142829_V06,20200117_082829
KTLX20200117_143317_V06,20200117_083317
KTLX20200117_143805_V06,20200117_083805
KTLX20200117_144253_V06,20200117_084253
KTLX20200117_144756_V06,20200117_084756
KTLX20200117_145259_V06,20200117_085259
KTLX20200117_150318_V06,20200117_090318
KTLX20200118_131340_V06,20200118_071340
KTLX20200118_132320_V06,20200118_072320
KTLX20200118_133300_V06,20200118_073300
KTLX20200118_134239_V06,20200118_074239
KTLX20200118_140159_V06,20200118_080159
KTLX20200118_141139_V06,20200118_081139
KTLX20200118_142318_V06,20200118_082318
KTLX20200118_143257_V06,20200118_083257
KTLX20200118_144236_V06,20200118_084236
KTLX20200118_150156_V06,20200118_090156
KTLX20200119_130717_V06,20200119_070717
KTLX20200119_131656_V06,20200119_071656
KTLX20200119_132637_V06,20200119_072637
KTLX20200119_133616_V06,20200119_073616
KTLX20200119_134556_V06,20200119_074556
KTLX20200119_140515_V06,20200119_080515
KTLX20200119_141455_V06,20200119_081455
KTLX20200119_142435_V06,20200119_082435
KTLX20200119_143610_V06,20200119_083610
KTLX20200119_144551_V06,20200119_084551
KTLX20200119_150510_V06,20200119_090510
KTLX20200120_131058_V06,20200120_071058
KTLX20200120_132038_V06,20200120_072038
KTLX20200120_133018_V06,20200120_073018
KTLX20200120_133958_V06,20200120_073958
KTLX20200120_134938_V06,20200120_074938
KTLX20200120_140857_V06,20200120_080857
KTLX20200120_141837_V06,20200120_081837
KTLX20200120_142817_V06,20200120_082817
KTLX20200120_143757_V06,20200120_083757
KTLX20200120_144932_V06,20200120_084932
KTLX20200121_131446_V06,20200121_071446
KTLX20200121_132426_V06,20200121_072426
KTLX20200121_133406_V06,20200121_073406
KTLX20200121_134346_V06,20200121_074346
KTLX20200121_140305_V06,20200121_080305
KTLX20200121_141246_V06,20200121_081246
KTLX20200121_142226_V06,20200121_082226
KTLX20200121_143206_V06,20200121_083206
KTLX20200121_144145_V06,20200121_084145
KTLX20200121_150302_V06,20200121_090302
KTLX20200122_131108_V06,20200122_071108
KTLX20200122_132047_V06,20200122_072047
KTLX20200122_133027_V06,20200122_073027
KTLX20200122_134006_V06,20200122_074006
KTLX20200122_134946_V06,20200122_074946
KTLX20200122_140905_V06,20200122_080905
KTLX20200122_141845_V06,20200122_081845
KTLX20200122_142824_V06,20200122_082824
KTLX20200122_143804_V06,20200122_083804
KTLX20200122_144744_V06,20200122_084744
KTLX20200123_130544_V06,20200123_070544
KTLX20200123_131523_V06,20200123_071523
KTLX20200123_132503_V06,20200123_072503
KTLX20200123_133442_V06,20200123_073442
KTLX20200123_134420_V06,20200123_074420
KTLX20200123_140338_V06,20200123_080338
KTLX20200123_141317_V06,20200123_081317
KTLX20200123_142256_V06,20200123_082256
