track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
6,KLIX20200625_112453_V06,25.722,0.113,416.811,509.451,37.917,-89.224,29.391,18958.641,119910.840,20200625_062453
10,KLIX20200625_110905_V06,9.922,0.081,316.798,423.133,30.961,-89.738,29.781,15480.274,62136.911,20200625_060905
10,KLIX20200625_111422_V06,15.205,0.060,319.236,422.704,37.142,-89.726,29.783,18570.837,62101.245,20200625_061422
11,KLIX20200625_111937_V06,20.455,0.112,356.653,417.585,31.538,-89.532,29.806,15769.030,65260.472,20200625_061937
11,KLIX20200625_112453_V06,25.722,0.053,353.751,415.554,38.021,-89.547,29.815,19010.535,63721.792,20200625_062453
13,KLIX20200625_114148_V06,42.638,0.107,304.700,176.424,26.907,-89.801,30.894,13453.724,61832.628,20200625_064148
14,KLIX20200625_115006_V06,50.938,0.116,374.175,519.389,41.554,-89.443,29.347,20776.875,115794.225,20200625_065006
7,KLIX20200626_105234_V06,-6.907,0.200,415.859,521.896,14.979,-89.229,29.334,7489.739,125161.230,20200626_055234
7,KLIX20200626_110555_V06,6.443,0.829,410.126,513.679,32.073,-89.258,29.372,16036.431,120194.174,20200626_060555
7,KLIX20200626_111234_V06,13.093,0.574,405.553,511.503,39.385,-89.282,29.382,19692.595,118189.438,20200626_061234
7,KLIX20200626_111916_V06,19.793,0.550,405.955,510.796,46.601,-89.280,29.385,23300.409,117963.205,20200626_061916
7,KLIX20200626_112557_V06,26.476,0.086,401.998,505.742,54.177,-89.300,29.408,27088.460,114818.553,20200626_062557
7,KLIX20200626_113238_V06,33.160,0.051,399.328,506.521,60.966,-89.314,29.404,30483.207,114582.910,20200626_063238
2,KLIX20200626_103913_V06,-20.257,0.537,245.031,298.081,10.334,-90.111,30.345,5166.971,27501.307,20200626_053913
2,KLIX20200626_104554_V06,-13.574,0.518,245.090,298.023,15.130,-90.111,30.345,7564.878,27472.614,20200626_054554
2,KLIX20200626_105234_V06,-6.907,0.573,243.124,295.620,15.724,-90.121,30.356,7862.180,28522.292,20200626_055234
2,KLIX20200626_110555_V06,6.443,0.554,242.873,300.115,31.416,-90.122,30.336,15708.030,28563.749,20200626_060555
2,KLIX20200626_111234_V06,13.093,0.116,239.542,296.493,34.649,-90.140,30.352,17324.445,30279.995,20200626_061234
6,KLIX20200626_104554_V06,-13.574,0.058,516.537,91.045,77.267,-88.688,31.274,38633.591,150458.041,20200626_054554
6,KLIX20200626_105234_V06,-6.907,0.142,518.349,89.420,83.006,-88.679,31.281,41503.159,151674.353,20200626_055234
11,KLIX20200626_111916_V06,19.793,0.060,266.917,132.897,27.752,-89.999,31.090,13876.226,85173.273,20200626_061916
11,KLIX20200626_112557_V06,26.476,0.062,269.812,132.055,35.154,-89.983,31.094,17576.812,85318.387,20200626_062557
1,KLIX20200627_103211_V06,-27.619,0.151,252.980,301.033,8.975,-90.070,30.332,4487.263,23515.420,20200627_053211
1,KLIX20200627_104045_V06,-19.053,0.747,248.268,298.016,12.596,-90.094,30.345,6298.128,25884.908,20200627_054045
1,KLIX20200627_104921_V06,-10.453,0.396,246.585,295.016,15.531,-90.103,30.359,7765.682,26823.624,20200627_054921
1,KLIX20200627_110613_V06,6.414,0.465,246.238,289.788,27.199,-90.105,30.382,13599.578,27361.793,20200627_060613
2,KLIX20200627_103211_V06,-27.619,0.056,443.903,290.698,5.924,-89.077,30.376,2962.185,72101.618,20200627_053211
2,KLIX20200627_104045_V06,-19.053,0.103,443.484,289.724,13.740,-89.079,30.381,6869.860,71925.781,20200627_054045
2,KLIX20200627_104921_V06,-10.453,0.935,443.546,283.883,21.210,-89.078,30.407,10604.928,72224.141,20200627_054921
