track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
3,KLIX20200101_124149_V06,0,0.483,1.200,2930,0,14089.700
3,KLIX20200101_124149_V06,2,0.879,1.200,2928,0,320.298
3,KLIX20200101_124149_V06,6,1.318,1.200,2924,0,0.876
3,KLIX20200101_125026_V06,0,0.483,1.200,5873,0,18281.697
3,KLIX20200101_125026_V06,2,0.879,1.200,5871,0,633.132
3,KLIX20200101_125026_V06,6,1.318,1.200,5873,0,1.762
4,KLIX20200101_124149_V06,0,0.483,1.200,433,12,3569.878
4,KLIX20200101_124149_V06,2,0.879,1.200,432,0,372.171
4,KLIX20200101_124149_V06,6,1.318,1.200,432,0,1.178
4,KLIX20200101_124149_V06,8,1.802,1.200,214,0,0.259
4,KLIX20200101_124149_V06,9,2.417,1.200,215,0,0.156
4,KLIX20200101_124149_V06,10,3.120,1.200,214,0,0.083
4,KLIX20200101_124149_V06,11,3.999,1.200,216,0,0.018
4,KLIX20200101_125026_V06,0,0.483,1.200,4593,72,25602.443
4,KLIX20200101_125026_V06,2,0.879,1.200,4593,1,1694.249
4,KLIX20200101_125026_V06,6,1.318,1.200,4598,0,29.226
4,KLIX20200101_125026_V06,8,1.802,1.200,2290,0,0.804
4,KLIX20200101_125026_V06,9,2.417,1.200,2287,0,1.008
4,KLIX20200101_125026_V06,10,3.120,1.200,2293,0,1.543
4,KLIX20200101_125026_V06,11,3.999,1.200,2298,0,2.827
4,KLIX20200101_130427_V06,0,0.483,1.200,4529,70,22692.644
4,KLIX20200101_130427_V06,2,0.879,1.200,4528,0,1476.119
4,KLIX20200101_130427_V06,4,1.318,1.200,4525,0,48.138
4,KLIX20200101_130427_V06,8,1.802,1.200,2280,0,1.834
4,KLIX20200101_130427_V06,9,2.417,1.200,2281,0,1.816
4,KLIX20200101_130427_V06,10,3.120,1.200,2284,0,1.734
4,KLIX20200101_130427_V06,11,3.999,1.200,2289,0,1.213
9,KLIX20200101_134210_V06,0,0.483,1.200,5459,7,5393.598
9,KLIX20200101_134210_V06,2,0.879,1.200,5455,2,1951.956
9,KLIX20200101_134210_V06,6,1.318,1.200,5460,0,21.340
9,KLIX20200101_134210_V06,8,1.802,1.200,2732,0,6.383
9,KLIX20200101_135048_V06,0,0.483,1.200,9885,4,5579.489
9,KLIX20200101_135048_V06,2,0.879,1.200,9882,0,657.351
9,KLIX20200101_135048_V06,6,1.318,1.200,9879,0,4.533
9,KLIX20200101_135048_V06,8,1.802,1.200,4948,0,3.960
1,KLIX20200101_123311_V06,0,0.483,1.200,897,129,47438.923
1,KLIX20200101_123311_V06,2,0.879,1.200,896,0,5487.889
1,KLIX20200101_123311_V06,6,1.318,1.200,891,0,8.729
6,KLIX20200101_125026_V06,0,0.483,1.200,594,6,12871.929
6,KLIX20200101_125026_V06,2,0.879,1.200,593,0,525.859
6,KLIX20200101_125026_V06,6,1.318,1.200,595,0,22.748
6,KLIX20200101_125026_V06,8,1.802,1.200,310,0,6.766
7,KLIX20200101_130427_V06,0,0.483,1.200,5399,88,18676.408
7,KLIX20200101_130427_V06,2,0.879,1.200,5402,0,729.728
7,KLIX20200101_130427_V06,4,1.318,1.200,5398,0,24.012
7,KLIX20200101_130427_V06,8,1.802,1.200,2700,0,3.819
7,KLIX20200101_130427_V06,9,2.417,1.200,2699,0,2.464
7,KLIX20200101_130427_V06,10,3.120,1.200,2701,0,1.278
7,KLIX20200101_130427_V06,11,3.999,1.200,2709,0,2.644
7,KLIX20200101_130427_V06,12,5.098,1.200,2709,0,1.088
8,KLIX20200101_132558_V06,0,0.483,1.200,6527,2,9990.166
8,KLIX20200101_132558_V06,2,0.879,1.200,6533,0,446.952
8,KLIX20200101_132558_V06,4,1.318,1.200,6531,0,8.075
8,KLIX20200101_132558_V06,8,1.802,1.200,3270,0,1.196
10,KLIX20200101_140802_V06,0,0.483,1.200,2593,16,12129.486
10,KLIX20200101_140802_V06,2,0.879,1.200,2589,4,3109.018
10,KLIX20200101_140802_V06,6,1.318,1.200,2592,0,810.264
2,KLIX20200102_124230_V06,0,0.483,1.200,4294,18,61528.664
2,KLIX20200102_124230_V06,2,0.879,1.200,4292,9,20662.400
2,KLIX20200102_124230_V06,4,1.318,1.200,4288,0,8367.406
1,KLIX20200104_130518_V06,0,0.483,1.200,381,0,306.236
1,KLIX20200104_130518_V06,2,0.879,1.200,381,0,2.016
1,KLIX20200104_130518_V06,6,1.318,1.200,379,0,0.025
1,KLIX20200104_130518_V06,8,1.802,1.200,190,0,0.013
1,KLIX20200104_130518_V06,9,2.417,1.200,191,0,0.013
1,KLIX20200104_130518_V06,10,3.120,1.200,193,0,0.013
1,KLIX20200104_130518_V06,11,3.999,1.200,192,0,0.013
1,KLIX20200104_130518_V06,12,5.098,1.200,190,0,0.013
1,KLIX20200105_123544_V06,0,0.483,1.200,295,2,579.821
1,KLIX20200105_123544_V06,2,0.879,1.200,297,0,87.633
1,KLIX20200105_123544_V06,6,1.318,1.200,296,0,0.012
1,KLIX20200105_123544_V06,8,1.802,1.200,143,0,0.012
1,KLIX20200105_123544_V06,9,2.417,1.200,143,0,0.012
1,KLIX20200105_123544_V06,10,3.120,1.200,143,0,0.012
1,KLIX20200105_123544_V06,11,3.999,1.200,143,0,0.012
1,KLIX20200105_124421_V06,0,0.483,1.200,2904,11,5596.971
1,KLIX20200105_124421_V06,2,0.879,1.200,2903,0,292.330
1,KLIX20200105_124421_V06,6,1.318,1.200,2904,0,1.367
1,KLIX20200105_124421_V06,8,1.802,1.200,1477,0,0.482
1,KLIX20200105_124421_V06,9,2.417,1.200,1477,0,0.127
1,KLIX20200105_124421_V06,10,3.120,1.200,1481,0,0.128
1,KLIX20200105_124421_V06,11,3.999,1.200,1485,0,0.128
1,KLIX20200105_130135_V06,0,0.483,1.200,3685,0,3070.090
1,KLIX20200105_130135_V06,2,0.879,1.200,3684,0,170.588
1,KLIX20200105_130135_V06,6,1.318,1.200,3685,0,4.081
1,KLIX20200105_130135_V06,8,1.802,1.200,1866,0,0.603
1,KLIX20200105_130135_V06,9,2.417,1.200,1871,0,0.250
1,KLIX20200105_130135_V06,10,3.120,1.200,1870,0,0.224
1,KLIX20200105_130135_V06,11,3.999,1.200,1871,0,0.371
4,KLIX20200105_124421_V06,0,0.483,1.200,136,5,286.206
4,KLIX20200105_124421_V06,2,0.879,1.200,136,0,84.391
4,KLIX20200105_124421_V06,6,1.318,1.200,136,0,0.482
4,KLIX20200105_124421_V06,8,1.802,1.200,70,0,0.054
4,KLIX20200105_124421_V06,9,2.417,1.200,70,0,0.008
4,KLIX20200105_124421_V06,10,3.120,1.200,69,0,0.002
4,KLIX20200105_124421_V06,11,3.999,1.200,68,0,0.019
4,KLIX20200105_124421_V06,12,5.098,1.200,68,0,0.022
4,KLIX20200105_124421_V06,13,6.416,1.200,70,0,0.015
4,KLIX20200105_130135_V06,0,0.483,1.200,5089,15,7880.174
4,KLIX20200105_130135_V06,2,0.879,1.200,5087,0,485.318
4,KLIX20200105_130135_V06,6,1.318,1.200,5085,0,2.996
4,KLIX20200105_130135_V06,8,1.802,1.200,2545,0,0.271
