track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
2,KDAX20220101_151655_V06,-7.294,0.105,373.968,102.446,8.438,-121.247,39.390,4218.994,105473.636,20220101_071655
2,KDAX20220101_152632_V06,2.323,0.498,374.104,99.250,13.957,-121.247,39.404,6978.582,106995.210,20220101_072632
2,KDAX20220101_153609_V06,11.940,0.712,369.927,96.411,14.041,-121.271,39.417,7020.376,107631.564,20220101_073609
2,KDAX20220101_154547_V06,21.573,0.551,368.278,99.204,19.714,-121.280,39.405,9857.067,106043.678,20220101_074547
3,KDAX20220101_152632_V06,2.323,0.883,333.766,41.266,8.769,-121.480,39.666,4384.609,130464.022,20220101_072632
3,KDAX20220101_153609_V06,11.940,0.687,335.669,42.063,17.078,-121.469,39.663,8538.936,130195.599,20220101_073609
3,KDAX20220101_154547_V06,21.573,0.066,340.455,46.088,30.646,-121.441,39.644,15323.081,128557.245,20220101_074547
1,KDAX20220101_150717_V06,-16.927,0.077,473.227,347.813,14.168,-120.687,38.282,7084.202,89852.039,20220101_070717
7,KDAX20220101_153609_V06,11.940,0.179,445.113,202.744,14.151,-120.840,38.936,7075.409,87344.954,20220101_073609
8,KDAX20220101_153609_V06,11.940,0.102,321.714,411.091,23.893,-121.553,38.001,11946.562,56596.489,20220101_073609
1,KDAX20220102_152421_V06,0.020,0.817,337.247,34.503,8.169,-121.460,39.697,4084.293,134048.410,20220102_072421
1,KDAX20220102_153359_V06,9.654,0.647,337.586,34.376,12.978,-121.458,39.697,6489.028,134134.987,20220102_073359
2,KDAX20220102_152421_V06,0.020,0.260,368.344,458.684,31.893,-121.289,37.786,15946.377,86387.880,20220102_072421
2,KDAX20220102_153359_V06,9.654,0.185,373.318,446.046,39.803,-121.260,37.843,19901.577,81708.128,20220102_073359
4,KDAX20220102_152421_V06,0.020,0.123,357.200,100.026,22.688,-121.345,39.401,11344.082,103997.118,20220102_072421
4,KDAX20220102_153359_V06,9.654,0.242,369.798,92.460,28.825,-121.271,39.435,14412.652,109481.323,20220102_073359
4,KDAX20220102_154337_V06,19.287,0.210,378.448,91.808,24.635,-121.221,39.438,12317.619,111240.527,20220102_074337
3,KDAX20220102_152421_V06,0.020,0.161,334.557,406.635,29.376,-121.480,38.021,14687.836,56047.303,20220102_072421
2,KDAX20220103_151231_V06,-11.897,0.102,225.330,51.193,24.459,-122.111,39.621,12229.412,129884.959,20220103_071231
4,KDAX20220103_154029_V06,16.069,0.130,362.596,94.609,12.704,-121.313,39.426,6351.814,107359.093,20220103_074029
5,KDAX20220103_154507_V06,20.703,0.270,236.886,364.459,21.683,-122.037,38.210,10841.625,45106.344,20220103_074507
2,KDAX20220104_151821_V06,-6.113,0.173,373.055,480.542,12.959,-121.263,37.687,6479.357,97381.286,20220104_071821
2,KDAX20220104_152258_V06,-1.496,0.789,373.729,478.477,21.649,-121.259,37.696,10824.632,96553.232,20220104_072258
2,KDAX20220104_152723_V06,2.921,0.643,372.001,478.522,31.211,-121.268,37.696,15605.712,96247.360,20220104_072723
2,KDAX20220104_153200_V06,7.537,0.612,372.782,474.890,37.894,-121.264,37.713,18946.943,94714.869,20220104_073200
2,KDAX20220104_153637_V06,12.154,0.432,373.769,472.433,43.787,-121.258,37.724,21893.686,93775.049,20220104_073637
2,KDAX20220104_154114_V06,16.771,0.085,373.191,463.988,54.174,-121.261,37.762,27087.165,89789.944,20220104_074114
3,KDAX20220104_151821_V06,-6.113,0.169,31.665,55.362,37.271,-123.239,39.593,18635.284,181556.982,20220104_071821
3,KDAX20220104_152258_V06,-1.496,0.067,33.076,59.506,44.519,-123.230,39.574,22259.296,179642.343,20220104_072258
3,KDAX20220104_152723_V06,2.921,0.093,46.646,88.098,54.865,-123.148,39.446,27432.648,165144.244,20220104_072723
11,KDAX20220104_164451_V06,80.387,0.060,277.530,382.532,13.560,-121.805,38.129,6779.840,42768.157,20220104_084451
11,KDAX20220104_164928_V06,85.004,0.124,277.837,382.536,19.719,-121.803,38.129,9859.631,42729.740,20220104_084928
1,KDAX20220104_145529_V06,-28.979,0.090,275.238,381.021,10.258,-121.818,38.136,5128.935,42360.030,20220104_065529
5,KDAX20220104_153200_V06,7.537,0.053,272.879,383.042,13.863,-121.831,38.127,6931.490,43679.179,20220104_073200
10,KDAX20220104_161710_V06,52.704,0.062,275.456,381.701,12.210,-121.817,38.133,6105.137,42654.020,20220104_081710
1,KDAX20220105_150541_V06,-18.793,0.165,472.881,347.003,5.428,-120.689,38.285,2714.214,89578.122,20220105_070541
1,KDAX20220105_151243_V06,-11.760,0.403,473.696,346.911,13.442,-120.684,38.286,6721.246,89959.561,20220105_071243
1,KDAX20220105_151945_V06,-4.726,0.276,472.727,346.512,16.859,-120.690,38.287,8429.454,89439.678,20220105_071945
4,KDAX20220105_151945_V06,-4.726,0.495,381.625,480.832,28.159,-121.214,37.686,14079.516,99200.419,20220105_071945
4,KDAX20220105_152646_V06,2.290,0.344,381.098,483.166,40.243,-121.217,37.675,20121.479,100158.219,20220105_072646
4,KDAX20220105_153348_V06,9.324,0.112,385.169,477.945,40.166,-121.194,37.699,20083.008,98638.578,20220105_073348
6,KDAX20220105_151945_V06,-4.726,0.051,449.192,204.194,4.852,-120.816,38.929,2426.006,88652.263,20220105_071945
6,KDAX20220105_152646_V06,2.290,0.401,449.476,203.670,15.026,-120.815,38.932,7513.165,88913.464,20220105_072646
6,KDAX20220105_153348_V06,9.324,0.097,452.827,204.132,21.474,-120.795,38.930,10737.160,90203.793,20220105_073348
7,KDAX20220105_152646_V06,2.290,0.174,375.463,98.084,6.879,-121.239,39.410,3439.449,107778.501,20220105_072646
7,KDAX20220105_153348_V06,9.324,0.469,376.622,99.010,17.464,-121.232,39.406,8731.976,107549.873,20220105_073348
7,KDAX20220105_154050_V06,16.357,0.510,376.953,98.290,22.870,-121.230,39.409,11435.048,107945.276,20220105_074050
3,KDAX20220105_151243_V06,-11.760,0.052,506.090,376.953,5.547,-120.501,38.149,2773.518,109994.053,20220105_071243
