filename,local_time
KDAX20200109_164632_V06,20200109_084632
KDAX20200109_165014_V06,20200109_085014
KDAX20200109_165357_V06,20200109_085357
KDAX20200110_150804_V06,20200110_070804
KDAX20200110_151740_V06,20200110_071740
KDAX20200110_152719_V06,20200110_072719
KDAX20200110_153655_V06,20200110_073655
KDAX20200110_154632_V06,20200110_074632
KDAX20200110_160547_V06,20200110_080547
KDAX20200110_161524_V06,20200110_081524
KDAX20200110_162500_V06,20200110_082500
KDAX20200110_163437_V06,20200110_083437
KDAX20200110_164413_V06,20200110_084413
KDAX20200111_145535_V06,20200111_065535
KDAX20200111_150141_V06,20200111_070141
KDAX20200111_150444_V06,20200111_070444
KDAX20200111_150747_V06,20200111_070747
KDAX20200111_151050_V06,20200111_071050
KDAX20200111_151353_V06,20200111_071353
KDAX20200111_151656_V06,20200111_071656
KDAX20200111_151959_V06,20200111_071959
KDAX20200111_152302_V06,20200111_072302
KDAX20200111_152605_V06,20200111_072605
KDAX20200111_152908_V06,20200111_072908
KDAX20200111_153211_V06,20200111_073211
KDAX20200111_153515_V06,20200111_073515
KDAX20200111_153818_V06,20200111_073818
KDAX20200111_154121_V06,20200111_074121
KDAX20200111_154424_V06,20200111_074424
KDAX20200111_154727_V06,20200111_074727
KDAX20200111_155030_V06,20200111_075030
KDAX20200111_155333_V06,20200111_075333
KDAX20200111_155636_V06,20200111_075636
KDAX20200111_160241_V06,20200111_080241
KDAX20200111_160544_V06,20200111_080544
KDAX20200111_160847_V06,20200111_080847
KDAX20200111_161150_V06,20200111_081150
KDAX20200111_161453_V06,20200111_081453
KDAX20200111_161757_V06,20200111_081757
KDAX20200111_162100_V06,20200111_082100
KDAX20200111_162403_V06,20200111_082403
KDAX20200111_162706_V06,20200111_082706
KDAX20200111_163010_V06,20200111_083010
KDAX20200111_163314_V06,20200111_083314
KDAX20200111_163617_V06,20200111_083617
KDAX20200111_163921_V06,20200111_083921
KDAX20200111_164224_V06,20200111_084224
KDAX20200111_164527_V06,20200111_084527
KDAX20200111_164830_V06,20200111_084830
KDAX20200111_165133_V06,20200111_085133
KDAX20200112_145515_V06,20200112_065515
KDAX20200112_150121_V06,20200112_070121
KDAX20200112_150423_V06,20200112_070423
KDAX20200112_150726_V06,20200112_070726
KDAX20200112_151030_V06,20200112_071030
KDAX20200112_151333_V06,20200112_071333
KDAX20200112_151636_V06,20200112_071636
KDAX20200112_151939_V06,20200112_071939
KDAX20200112_152242_V06,20200112_072242
KDAX20200112_152544_V06,20200112_072544
KDAX20200112_152847_V06,20200112_072847
KDAX20200112_153150_V06,20200112_073150
KDAX20200112_153453_V06,20200112_073453
KDAX20200112_153757_V06,20200112_073757
KDAX20200112_154100_V06,20200112_074100
KDAX20200112_154404_V06,20200112_074404
KDAX20200112_154707_V06,20200112_074707
KDAX20200112_155010_V06,20200112_075010
KDAX20200112_155312_V06,20200112_075312
KDAX20200112_155615_V06,20200112_075615
KDAX20200112_160222_V06,20200112_080222
KDAX20200112_160525_V06,20200112_080525
KDAX20200112_160828_V06,20200112_080828
KDAX20200112_161132_V06,20200112_081132
KDAX20200112_161435_V06,20200112_081435
KDAX20200112_161738_V06,20200112_081738
KDAX20200112_162041_V06,20200112_082041
KDAX20200112_162344_V06,20200112_082344
KDAX20200112_162648_V06,20200112_082648
KDAX20200112_162951_V06,20200112_082951
KDAX20200112_163254_V06,20200112_083254
KDAX20200112_163557_V06,20200112_083557
KDAX20200112_163900_V06,20200112_083900
KDAX20200112_164203_V06,20200112_084203
KDAX20200112_164506_V06,20200112_084506
KDAX20200112_164809_V06,20200112_084809
KDAX20200112_165112_V06,20200112_085112
