track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_overthresh_pixels,n_animals
1,KTYX20200103_121320_V06,0,0.483,1.200,7309,0,0.260
1,KTYX20200103_121320_V06,2,0.879,1.200,7310,0,0.477
1,KTYX20200103_121320_V06,4,1.318,1.200,7313,0,0.250
1,KTYX20200103_121320_V06,6,1.802,1.200,3658,0,0.207
1,KTYX20200103_121320_V06,7,2.417,1.200,3659,0,0.243
1,KTYX20200103_121320_V06,8,3.120,1.200,3662,0,0.256
1,KTYX20200103_121320_V06,9,3.999,1.200,3667,0,0.297
1,KTYX20200103_121320_V06,10,5.098,1.200,3672,0,0.295
1,KTYX20200103_121320_V06,11,6.416,1.200,3682,0,0.244
3,KTYX20200103_130030_V06,0,0.483,1.200,21086,0,222111.894
3,KTYX20200103_130030_V06,2,0.879,1.200,21092,0,155186.404
3,KTYX20200103_130030_V06,4,1.318,1.200,21104,0,52376.926
2,KTYX20200106_135119_V06,0,0.483,1.200,6418,0,8790.917
2,KTYX20200106_135119_V06,2,0.879,1.200,6417,0,449.856
2,KTYX20200106_135119_V06,4,1.318,1.200,6422,0,1.949
2,KTYX20200106_140336_V06,0,0.483,1.200,11851,1,14062.404
2,KTYX20200106_140336_V06,2,0.879,1.200,11860,0,889.234
2,KTYX20200106_140336_V06,4,1.318,1.200,11865,0,3.152
2,KTYX20200108_122502_V06,0,0.483,1.200,38318,824,472625.418
2,KTYX20200108_122502_V06,2,0.879,1.200,38316,165,251032.366
2,KTYX20200108_122502_V06,4,1.318,1.200,38335,33,64754.977
2,KTYX20200108_122502_V06,6,1.802,1.200,19179,9,14002.485
2,KTYX20200108_123110_V06,0,0.483,1.200,45112,973,491460.228
2,KTYX20200108_123110_V06,2,0.879,1.200,45114,244,268178.999
2,KTYX20200108_123110_V06,4,1.318,1.200,45130,50,81604.296
2,KTYX20200108_123110_V06,6,1.802,1.200,22575,4,19994.389
4,KTYX20200108_130137_V06,0,0.483,1.200,15235,0,2453.065
4,KTYX20200108_130137_V06,2,0.879,1.200,15243,0,181.048
4,KTYX20200108_130137_V06,4,1.318,1.200,15251,0,3.694
8,KTYX20200108_134349_V06,0,0.483,1.200,20328,85,130557.425
8,KTYX20200108_134349_V06,2,0.879,1.200,20332,4,18995.573
8,KTYX20200108_134349_V06,4,1.318,1.200,20342,0,723.117
6,KTYX20200110_133415_V06,0,0.483,1.200,11680,0,890.444
6,KTYX20200110_133415_V06,2,0.879,1.200,11685,0,37.739
6,KTYX20200110_133415_V06,4,1.318,1.200,11689,0,35.383
6,KTYX20200110_133856_V06,0,0.483,1.200,15511,0,956.260
6,KTYX20200110_133856_V06,2,0.879,1.200,15513,0,63.035
6,KTYX20200110_133856_V06,4,1.318,1.200,15517,0,36.551
6,KTYX20200110_134335_V06,0,0.483,1.200,17109,0,1234.139
6,KTYX20200110_134335_V06,2,0.879,1.200,17112,0,68.548
6,KTYX20200110_134335_V06,4,1.318,1.200,17119,0,20.040
7,KTYX20200110_133415_V06,0,0.483,1.200,11798,0,24.128
7,KTYX20200110_133415_V06,2,0.879,1.200,11803,0,35.189
7,KTYX20200110_133415_V06,4,1.318,1.200,11807,0,32.822
7,KTYX20200110_133415_V06,6,1.802,1.200,5902,0,19.102
7,KTYX20200110_133415_V06,7,2.417,1.200,5907,0,8.052
7,KTYX20200110_133415_V06,8,3.120,1.200,5908,0,4.190
7,KTYX20200110_133415_V06,9,3.999,1.200,5917,0,0.650
7,KTYX20200110_133415_V06,10,5.098,1.200,5922,0,1.974
7,KTYX20200110_133415_V06,11,6.416,1.200,5945,0,56.871
7,KTYX20200110_133856_V06,0,0.483,1.200,22471,0,77.276
7,KTYX20200110_133856_V06,2,0.879,1.200,22474,0,98.078
7,KTYX20200110_133856_V06,4,1.318,1.200,22481,0,77.683
7,KTYX20200110_133856_V06,6,1.802,1.200,11248,0,40.701
7,KTYX20200110_133856_V06,7,2.417,1.200,11250,0,21.006
7,KTYX20200110_133856_V06,8,3.120,1.200,11259,0,8.527
7,KTYX20200110_133856_V06,9,3.999,1.200,11266,0,2.053
7,KTYX20200110_133856_V06,10,5.098,1.200,11282,0,18.536
7,KTYX20200110_133856_V06,11,6.416,1.200,11315,0,351.795
8,KTYX20200110_134815_V06,0,0.483,1.200,4881,0,428.029
8,KTYX20200110_134815_V06,2,0.879,1.200,4888,0,50.782
