track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KLIX20220101_122858_V06,-27.025,0.337,143.962,359.740,6.348,-90.634,30.065,3174.051,83541.311,20220101_062858
1,KLIX20220101_123721_V06,-18.642,0.381,143.972,358.927,12.803,-90.634,30.068,6401.479,83392.463,20220101_063721
3,KLIX20220101_130311_V06,7.191,0.185,332.286,319.940,7.765,-89.658,30.247,3882.671,18973.321,20220101_070311
3,KLIX20220102_123418_V06,-21.913,0.052,115.928,354.827,9.200,-90.780,30.086,4600.120,96031.941,20220102_063418
1,KLIX20220103_123454_V06,-21.508,0.133,368.904,325.785,4.684,-89.467,30.220,2341.946,36785.248,20220103_063454
2,KLIX20220103_130024_V06,3.992,0.443,259.719,206.811,8.868,-90.036,30.757,4433.752,50760.949,20220103_070024
3,KLIX20220103_130024_V06,3.992,0.293,282.204,226.655,10.139,-89.918,30.667,5069.309,37736.644,20220103_070024
5,KLIX20220104_130621_V06,9.774,0.109,244.860,200.569,10.342,-90.113,30.785,5171.055,56848.431,20220104_070621
5,KLIX20220104_131448_V06,18.224,0.102,246.215,202.609,21.167,-90.106,30.776,10583.431,55628.058,20220104_071448
5,KLIX20220104_132319_V06,26.741,0.057,258.849,194.420,37.797,-90.040,30.813,18898.303,56657.936,20220104_072319
3,KLIX20220104_124031_V06,-16.059,0.432,21.837,444.834,28.741,-91.262,29.676,14370.745,156805.161,20220104_064031
3,KLIX20220104_124916_V06,-7.309,0.280,24.381,437.505,45.410,-91.249,29.709,22704.861,154007.465,20220104_064916
4,KLIX20220104_130621_V06,9.774,0.151,173.688,436.431,24.364,-90.478,29.720,12182.247,92962.538,20220104_070621
4,KLIX20220105_130303_V06,6.334,0.567,379.557,169.180,10.227,-89.409,30.926,5113.739,76556.077,20220105_070303
4,KLIX20220105_131149_V06,15.101,0.848,380.338,169.095,18.130,-89.405,30.926,9064.916,76795.738,20220105_071149
4,KLIX20220105_132034_V06,23.851,0.494,383.351,171.566,27.953,-89.389,30.915,13976.700,76555.131,20220105_072034
7,KLIX20220105_131149_V06,15.101,0.089,363.264,252.183,8.391,-89.496,30.552,4195.419,39650.873,20220105_071149
7,KLIX20220105_132034_V06,23.851,0.215,364.347,252.796,16.683,-89.490,30.549,8341.668,39902.224,20220105_072034
7,KLIX20220105_132919_V06,32.601,0.094,364.491,254.401,19.735,-89.489,30.542,9867.254,39491.445,20220105_072919
3,KLIX20220105_130303_V06,6.334,0.676,257.577,193.652,9.044,-90.047,30.816,4522.123,57248.660,20220105_070303
3,KLIX20220105_131149_V06,15.101,0.538,259.030,193.227,20.468,-90.039,30.818,10234.121,57181.857,20220105_071149
10,KLIX20220105_132034_V06,23.851,0.140,338.064,268.281,15.459,-89.627,30.480,7729.275,24773.536,20220105_072034
10,KLIX20220105_132919_V06,32.601,0.276,338.652,268.159,25.003,-89.624,30.480,12501.673,25039.254,20220105_072919
1,KLIX20220105_122801_V06,-28.699,0.051,302.759,367.206,10.665,-89.811,30.034,5332.710,33631.412,20220105_062801
2,KLIX20220105_130303_V06,6.334,0.707,457.562,273.737,14.823,-89.005,30.453,7411.320,79867.991,20220105_070303
5,KLIX20220105_130303_V06,6.334,0.360,279.384,216.924,9.012,-89.933,30.711,4505.783,42797.891,20220105_070303
8,KLIX20220105_131149_V06,15.101,0.089,376.456,327.931,26.521,-89.428,30.210,13260.445,40699.057,20220105_071149
9,KLIX20220105_132034_V06,23.851,0.711,480.130,217.779,14.232,-88.885,30.704,7115.753,99004.102,20220105_072034
2,KLIX20220106_123243_V06,-24.111,0.289,457.960,277.352,3.354,-89.003,30.436,1676.830,79787.777,20220106_063243
2,KLIX20220106_123758_V06,-18.861,0.727,459.446,274.865,10.454,-88.995,30.447,5227.241,80707.542,20220106_063758
2,KLIX20220106_124319_V06,-13.511,0.100,461.184,269.021,18.619,-88.986,30.474,9309.720,82067.114,20220106_064319
2,KLIX20220106_124828_V06,-8.361,0.122,464.072,262.280,27.106,-88.971,30.504,13553.053,84175.866,20220106_064828
2,KLIX20220106_125338_V06,-3.194,0.050,471.732,256.160,29.927,-88.931,30.531,14963.340,88620.012,20220106_065338
5,KLIX20220106_130355_V06,7.089,0.937,259.792,192.190,6.153,-90.035,30.823,3076.540,57532.080,20220106_070355
5,KLIX20220106_130916_V06,12.439,0.722,260.734,191.797,10.777,-90.030,30.825,5388.499,57553.430,20220106_070916
4,KLIX20220106_124828_V06,-8.361,0.066,388.956,337.796,31.087,-89.364,30.165,15543.303,48326.432,20220106_064828
6,KLIX20220106_130355_V06,7.089,0.113,362.294,306.648,24.781,-89.501,30.306,12390.591,31323.945,20220106_070355
8,KLIX20220106_130355_V06,7.089,0.064,270.931,222.379,22.224,-89.977,30.687,11112.144,41442.757,20220106_070355
1,KLIX20220107_123747_V06,-19.129,0.521,234.197,223.299,6.816,-90.169,30.682,3408.092,50529.956,20220107_063747
1,KLIX20220107_124612_V06,-10.712,0.130,221.496,228.696,16.155,-90.235,30.658,8077.747,53026.043,20220107_064612
1,KLIX20220107_130257_V06,6.038,0.089,238.541,224.825,27.400,-90.146,30.675,13699.891,48550.247,20220107_070257
1,KLIX20220107_131123_V06,14.471,-1.000,245.722,223.354,33.338,-90.109,30.682,16668.857,46959.305,20220107_071123
1,KLIX20220107_131948_V06,22.888,0.540,252.918,215.234,33.216,-90.071,30.719,16608.065,48482.005,20220107_071948
5,KLIX20220107_130257_V06,6.038,0.864,366.769,194.153,9.272,-89.476,30.814,4636.040,62573.492,20220107_070257
5,KLIX20220107_131123_V06,14.471,0.154,367.920,196.119,24.848,-89.470,30.805,12424.136,62057.117,20220107_071123
2,KLIX20220107_123747_V06,-19.129,0.077,202.823,420.370,6.329,-90.328,29.793,3164.429,77350.233,20220107_063747
1,KLIX20220108_123609_V06,-20.818,0.654,363.215,337.450,16.105,-89.497,30.167,8052.608,36737.697,20220108_063609
1,KLIX20220108_124454_V06,-12.068,0.925,366.040,333.409,21.462,-89.482,30.186,10730.897,37005.170,20220108_064454
1,KLIX20220108_130223_V06,5.415,0.152,368.469,325.547,20.711,-89.470,30.221,10355.302,36539.992,20220108_070223
2,KLIX20220108_123609_V06,-20.818,0.636,451.417,269.230,10.505,-89.037,30.473,5252.399,77255.726,20220108_063609
2,KLIX20220108_124454_V06,-12.068,0.832,451.131,264.938,20.162,-89.038,30.492,10080.805,77572.297,20220108_064454
6,KLIX20220108_131109_V06,14.182,0.064,331.533,265.531,27.608,-89.661,30.492,13803.795,23358.076,20220108_071109
7,KLIX20220108_132839_V06,31.682,0.266,307.829,420.766,21.736,-89.785,29.792,10867.983,60509.962,20220108_072839
3,KLIX20220109_124644_V06,-10.262,0.179,342.579,376.312,17.035,-89.605,29.992,8517.645,43693.204,20220109_064644
5,KLIX20220110_130315_V06,6.255,0.620,255.164,208.650,7.331,-90.059,30.748,3665.302,50879.915,20220110_070315
5,KLIX20220110_130818_V06,11.305,0.617,254.311,210.151,15.193,-90.064,30.742,7596.684,50399.523,20220110_070818
5,KLIX20220110_131310_V06,16.172,0.481,253.269,214.316,20.182,-90.069,30.723,10091.031,48799.189,20220110_071310
5,KLIX20220110_131814_V06,21.238,0.236,254.414,214.187,26.365,-90.063,30.723,13182.650,48585.151,20220110_071814
7,KLIX20220110_130315_V06,6.255,0.194,367.654,200.575,6.556,-89.472,30.785,3277.912,60129.747,20220110_070315
7,KLIX20220110_130818_V06,11.305,0.094,369.839,200.500,15.171,-89.460,30.785,7585.258,60782.021,20220110_070818
