track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
1,KTLX20200101_134051_V06,2.937,0.111,259.685,300.995,28.048,-97.499,35.328,14023.773,20163.628,20200101_074051
1,KTLX20200102_132823_V06,-9.708,0.333,245.292,308.825,22.541,-97.578,35.293,11270.458,27707.701,20200102_072823
1,KTLX20200102_133804_V06,-0.025,0.793,252.696,306.398,32.202,-97.538,35.304,16101.035,23867.245,20200102_073804
1,KTLX20200102_134744_V06,9.642,0.515,258.820,315.056,31.771,-97.504,35.265,15885.291,21923.112,20200102_074744
1,KTLX20200104_131722_V06,-20.986,0.206,283.759,307.794,7.580,-97.367,35.298,3789.909,9007.140,20200104_071722
1,KTLX20200104_132703_V06,-11.303,0.170,267.531,321.635,16.551,-97.456,35.235,8275.375,19508.444,20200104_072703
3,KTLX20200104_133644_V06,-1.620,0.658,391.744,319.865,9.056,-96.774,35.242,4527.763,46935.180,20200104_073644
3,KTLX20200104_134625_V06,8.064,0.079,394.409,319.908,20.083,-96.759,35.242,10041.471,48242.434,20200104_074625
4,KTLX20200104_133644_V06,-1.620,0.313,228.795,256.165,8.866,-97.670,35.530,4432.779,41807.873,20200104_073644
6,KTLX20200104_133644_V06,-1.620,0.081,295.079,251.190,7.492,-97.305,35.553,3745.998,24528.950,20200104_073644
7,KTLX20200104_134625_V06,8.064,0.051,241.926,193.653,2.314,-97.599,35.812,1157.063,60585.039,20200104_074625
1,KTLX20200105_132429_V06,-13.952,0.128,255.959,329.354,6.272,-97.519,35.201,3136.177,26463.574,20200105_072429
1,KTLX20200105_133409_V06,-4.285,0.069,259.791,323.524,23.544,-97.498,35.227,11772.116,23292.531,20200105_073409
1,KTLX20200106_133208_V06,-6.352,0.142,249.757,311.747,13.802,-97.554,35.280,6901.001,25798.755,20200106_073208
1,KTLX20200106_134150_V06,3.348,0.314,250.726,314.321,27.707,-97.548,35.268,13853.358,25656.545,20200106_074150
1,KTLX20200107_132810_V06,-10.337,0.541,383.267,508.617,9.192,-96.825,34.392,4595.918,112310.533,20200107_072810
1,KTLX20200107_133750_V06,-0.670,0.088,384.074,509.101,19.866,-96.820,34.390,9932.786,112684.788,20200107_073750
2,KTLX20200107_132810_V06,-10.337,0.168,202.011,391.614,7.089,-97.814,34.919,3544.748,67072.383,20200107_072810
2,KTLX20200107_133750_V06,-0.670,0.100,203.469,391.359,16.510,-97.806,34.920,8255.114,66454.460,20200107_073750
3,KTLX20200107_132810_V06,-10.337,0.121,486.428,231.628,11.591,-96.248,35.637,5795.418,99285.082,20200107_072810
4,KTLX20200108_132400_V06,-14.489,0.360,253.082,311.452,11.032,-97.535,35.281,5515.766,24147.753,20200108_072400
4,KTLX20200108_133340_V06,-4.822,0.226,256.659,314.862,24.599,-97.516,35.266,12299.668,22908.907,20200108_073340
4,KTLX20200108_134321_V06,4.861,0.078,257.843,320.011,28.680,-97.509,35.243,14340.232,23332.574,20200108_074321
1,KTLX20200108_131419_V06,-24.172,0.242,175.792,412.276,3.913,-97.956,34.825,1956.644,83716.152,20200108_071419
3,KTLX20200108_132400_V06,-14.489,0.429,236.415,249.104,6.164,-97.628,35.562,3081.820,40723.237,20200108_072400
6,KTLX20200108_141224_V06,33.911,0.051,81.510,323.325,2.786,-98.477,35.222,1392.768,109865.880,20200108_081224
1,KTLX20200109_133231_V06,-5.925,0.401,249.019,296.748,15.878,-97.558,35.347,7939.167,25542.376,20200109_073231
1,KTLX20200109_134212_V06,3.758,0.826,255.030,302.228,30.776,-97.525,35.323,15387.973,22512.533,20200109_074212
1,KTLX20200109_140134_V06,23.125,0.109,263.003,303.357,39.918,-97.481,35.318,19958.762,18574.596,20200109_080134
2,KTLX20200110_132716_V06,-11.096,0.232,245.708,303.085,17.610,-97.576,35.319,8804.884,27189.552,20200110_072716
2,KTLX20200110_133107_V06,-7.246,0.735,245.585,300.647,25.599,-97.577,35.330,12799.349,27209.562,20200110_073107
2,KTLX20200110_133512_V06,-3.163,0.636,246.545,302.193,25.985,-97.571,35.323,12992.335,26750.189,20200110_073512
2,KTLX20200110_133930_V06,1.137,0.801,246.184,295.017,29.580,-97.574,35.355,14789.948,27023.070,20200110_073930
2,KTLX20200110_134336_V06,5.237,0.065,249.155,290.871,30.498,-97.557,35.374,15248.807,25829.142,20200110_074336
9,KTLX20200111_143950_V06,61.582,0.056,244.889,291.180,13.981,-97.581,35.372,6990.618,27906.272,20200111_083950
1,KTLX20200112_132646_V06,-11.341,0.091,259.985,305.292,19.070,-97.497,35.309,9534.855,20181.720,20200112_072646
1,KTLX20200112_133627_V06,-1.658,0.615,253.205,301.042,29.133,-97.535,35.328,14566.610,23403.065,20200112_073627
1,KTLX20200112_134609_V06,8.042,0.234,255.168,317.439,30.976,-97.524,35.254,15487.839,24052.133,20200112_074609
2,KTLX20200114_132540_V06,-12.058,0.052,349.953,53.554,13.647,-96.999,36.443,6823.593,125729.008,20200114_072540
2,KTLX20200114_133521_V06,-2.375,0.261,350.086,53.481,22.537,-96.998,36.444,11268.384,125777.582,20200114_073521
1,KTLX20200114_131600_V06,-21.725,0.057,33.211,252.815,6.501,-98.748,35.537,3250.312,135464.610,20200114_071600
3,KTLX20200114_134707_V06,9.392,0.516,258.169,323.192,24.669,-97.507,35.228,12334.713,23915.063,20200114_074707
4,KTLX20200114_144509_V06,67.425,0.070,44.501,158.807,11.687,-98.694,35.961,5843.542,145958.290,20200114_084509
1,KTLX20200115_131104_V06,-26.419,0.061,178.660,413.187,2.795,-97.941,34.821,1397.488,82967.807,20200115_071104
2,KTLX20200115_134003_V06,2.564,0.131,254.963,317.026,13.976,-97.525,35.256,6988.003,24073.928,20200115_074003
3,KTLX20200115_134003_V06,2.564,0.074,44.938,156.163,9.095,-98.691,35.973,4547.427,146411.847,20200115_074003
4,KTLX20200115_142043_V06,43.231,0.079,309.519,134.001,2.234,-97.225,36.081,1116.776,83135.764,20200115_082043
5,KTLX20200115_143024_V06,52.914,0.333,205.401,138.779,8.571,-97.802,36.058,4285.667,93462.761,20200115_083024
6,KTLX20200115_144004_V06,62.581,0.070,316.147,127.709,1.830,-97.188,36.109,915.226,86522.962,20200115_084004
1,KTLX20200116_140410_V06,26.951,0.198,28.038,487.712,30.943,-98.758,34.478,15471.537,165226.632,20200116_080410
1,KTLX20200116_141547_V06,38.568,0.246,29.133,494.714,42.571,-98.751,34.446,21285.653,166795.254,20200116_081547
2,KTLX20200116_140410_V06,26.951,0.139,25.196,437.393,29.980,-98.777,34.705,14990.082,153618.088,20200116_080410
3,KTLX20200116_144448_V06,67.585,0.078,39.375,188.736,78.159,-98.720,35.826,39079.651,141690.862,20200116_084448
1,KTLX20200118_134239_V06,6.069,0.179,269.415,344.550,25.077,-97.445,35.132,12538.481,27019.282,20200118_074239
1,KTLX20200119_130717_V06,-28.934,0.549,175.151,412.739,5.745,-97.960,34.823,2872.509,84109.163,20200119_070717
1,KTLX20200119_131656_V06,-19.284,0.088,175.235,413.249,13.977,-97.959,34.821,6988.252,84249.000,20200119_071656
4,KTLX20200119_133616_V06,0.049,0.654,396.700,316.527,13.654,-96.746,35.257,6827.068,49050.949,20200119_073616
4,KTLX20200119_134556_V06,9.716,0.227,398.876,315.797,25.836,-96.734,35.261,12917.956,50065.138,20200119_074556
7,KTLX20200119_133616_V06,0.049,0.120,367.629,423.092,8.660,-96.908,34.778,4329.954,70223.692,20200119_073616
7,KTLX20200119_134556_V06,9.716,0.106,371.150,425.795,21.952,-96.889,34.765,10975.820,72261.208,20200119_074556
5,KTLX20200119_133616_V06,0.049,0.163,384.377,515.360,15.635,-96.819,34.362,7817.723,115649.752,20200119_073616
6,KTLX20200119_133616_V06,0.049,0.151,239.843,259.919,15.045,-97.609,35.513,7522.316,36143.140,20200119_073616
9,KTLX20200119_134556_V06,9.716,0.566,244.168,190.029,9.542,-97.586,35.828,4770.945,61666.010,20200119_074556
10,KTLX20200119_134556_V06,9.716,0.265,230.000,141.230,2.210,-97.666,36.048,1105.213,86757.979,20200119_074556
14,KTLX20200119_143610_V06,59.949,0.211,175.606,411.925,8.216,-97.957,34.827,4108.112,83667.561,20200119_083610
1,KTLX20200120_133018_V06,-5.523,0.250,229.210,249.725,10.466,-97.668,35.559,5232.761,43413.035,20200120_073018
1,KTLX20200120_133958_V06,4.144,0.054,232.036,251.168,22.266,-97.652,35.553,11133.157,41843.868,20200120_073958
3,KTLX20200120_133018_V06,-5.523,0.103,255.494,328.597,19.833,-97.522,35.204,9916.718,26450.733,20200120_073018
3,KTLX20200120_133958_V06,4.144,0.090,254.628,313.073,29.323,-97.527,35.274,14661.376,23609.063,20200120_073958
4,KTLX20200120_133958_V06,4.144,0.447,384.167,312.637,11.361,-96.815,35.275,5680.477,42555.212,20200120_073958
4,KTLX20200120_134938_V06,13.810,0.066,371.852,298.840,23.884,-96.882,35.338,11941.892,35930.568,20200120_074938
2,KTLX20200120_133018_V06,-5.523,0.154,279.481,360.637,6.083,-97.390,35.060,3041.386,32007.168,20200120_073018
5,KTLX20200120_133958_V06,4.144,0.060,383.278,502.649,19.133,-96.825,34.419,9566.705,109546.866,20200120_073958
1,KTLX20200121_133406_V06,-1.298,0.081,241.541,308.512,22.411,-97.599,35.294,11205.729,29537.827,20200121_073406
1,KTLX20200121_134346_V06,8.369,0.415,248.521,316.012,33.201,-97.560,35.261,16600.270,26955.689,20200121_074346
2,KTLX20200121_133406_V06,-1.298,0.069,257.099,328.493,16.471,-97.513,35.204,8235.460,25750.288,20200121_073406
7,KTLX20200122_134006_V06,5.157,0.086,255.925,295.466,8.379,-97.520,35.353,4189.585,22153.709,20200122_074006
7,KTLX20200122_134946_V06,14.824,0.336,258.314,297.160,18.296,-97.507,35.346,9148.180,20891.541,20200122_074946
2,KTLX20200123_133442_V06,0.242,0.139,259.761,333.676,16.102,-97.498,35.181,8050.980,26235.640,20200123_073442
2,KTLX20200123_134420_V06,9.875,0.130,260.441,330.734,31.477,-97.495,35.194,15738.566,25047.120,20200123_074420
1,KTLX20200123_133442_V06,0.242,0.298,26.170,56.189,31.766,-98.804,36.422,15882.811,183321.299,20200123_073442
1,KTLX20200124_131731_V06,-16.427,0.339,253.880,330.088,11.436,-97.531,35.197,5717.842,27533.408,20200124_071731
1,KTLX20200124_132710_V06,-6.777,0.509,257.168,331.380,19.975,-97.513,35.191,9987.362,26548.529,20200124_072710
1,KTLX20200124_133650_V06,2.890,0.381,262.456,329.659,25.201,-97.484,35.199,12600.536,23922.936,20200124_073650
2,KTLX20200124_132710_V06,-6.777,0.057,272.433,355.610,15.450,-97.429,35.082,7724.985,31034.005,20200124_072710
2,KTLX20200124_133650_V06,2.890,0.117,273.841,365.413,23.799,-97.421,35.038,11899.406,35224.606,20200124_073650
4,KTLX20200124_133650_V06,2.890,0.113,359.753,289.847,6.063,-96.949,35.378,3031.567,30304.567,20200124_073650
1,KTLX20200125_132106_V06,-12.300,0.621,254.193,301.916,16.704,-97.529,35.324,8352.205,22923.659,20200125_072106
1,KTLX20200125_133045_V06,-2.650,0.123,254.673,302.276,27.542,-97.527,35.323,13770.815,22691.818,20200125_073045
1,KTLX20200125_134025_V06,7.017,0.060,255.259,303.489,29.205,-97.524,35.317,14602.497,22438.192,20200125_074025
2,KTLX20200125_132106_V06,-12.300,0.199,255.364,327.798,13.196,-97.523,35.208,6598.120,26292.222,20200125_072106
5,KTLX20200125_133045_V06,-2.650,0.251,227.925,240.803,8.537,-97.675,35.599,4268.492,46634.423,20200125_073045
2,KTLX20200126_131618_V06,-16.526,0.735,256.921,333.804,9.842,-97.514,35.180,4920.959,27379.434,20200126_071618
2,KTLX20200126_132558_V06,-6.860,0.091,257.803,333.057,20.713,-97.509,35.184,10356.307,26801.832,20200126_072558
2,KTLX20200126_133537_V06,2.790,0.494,261.870,334.848,30.707,-97.487,35.176,15353.595,25827.629,20200126_073537
3,KTLX20200126_133537_V06,2.790,0.238,245.192,195.218,4.750,-97.581,35.805,2375.196,59125.068,20200126_073537
3,KTLX20200126_134516_V06,12.440,0.124,244.975,198.149,13.249,-97.582,35.792,6624.672,57882.243,20200126_074516
1,KTLX20200126_130638_V06,-26.193,0.177,188.730,313.901,5.498,-97.889,35.269,2749.249,56067.714,20200126_070638
5,KTLX20200127_132806_V06,-4.124,0.084,417.933,497.175,11.820,-96.636,34.443,5910.082,114876.100,20200127_072806
5,KTLX20200127_133746_V06,5.542,0.594,416.315,498.731,24.700,-96.645,34.436,12350.148,115133.996,20200127_073746
5,KTLX20200127_134726_V06,15.209,0.089,405.426,504.434,41.154,-96.704,34.410,20576.954,115008.461,20200127_074726
6,KTLX20200127_132806_V06,-4.124,0.074,379.963,502.038,4.846,-96.843,34.422,2423.174,108643.243,20200127_072806
6,KTLX20200127_133746_V06,5.542,0.246,379.800,503.426,15.372,-96.844,34.415,7686.089,109259.350,20200127_073746
6,KTLX20200127_134726_V06,15.209,0.097,381.770,503.261,23.146,-96.833,34.416,11572.848,109545.949,20200127_074726
1,KTLX20200127_131827_V06,-13.774,0.074,258.195,306.971,17.618,-97.507,35.301,8809.114,21191.197,20200127_071827
1,KTLX20200127_132806_V06,-4.124,0.070,259.849,320.591,26.000,-97.498,35.240,13000.188,22561.647,20200127_072806
2,KTLX20200127_131827_V06,-13.774,0.053,255.895,329.194,7.980,-97.520,35.201,3990.093,26446.004,20200127_071827
3,KTLX20200127_132806_V06,-4.124,0.688,470.849,341.081,8.784,-96.340,35.144,4391.796,87859.174,20200127_072806
7,KTLX20200127_133746_V06,5.542,0.078,270.902,419.946,5.554,-97.436,34.792,2777.096,61712.263,20200127_073746
3,KTLX20200129_133309_V06,2.214,0.263,262.350,338.254,23.890,-97.484,35.160,11945.042,26836.843,20200129_073309
3,KTLX20200129_134248_V06,11.864,0.317,262.045,336.274,34.598,-97.486,35.169,17299.138,26250.568,20200129_074248
1,KTLX20200129_130413_V06,-26.719,0.157,353.419,342.167,4.599,-96.984,35.143,2299.744,34027.905,20200129_070413
4,KTLX20200129_134248_V06,11.864,0.711,292.306,249.194,10.451,-97.320,35.562,5225.727,25692.411,20200129_074248
5,KTLX20200129_142125_V06,50.481,0.166,299.294,284.327,20.356,-97.281,35.404,10178.207,7844.559,20200129_082125
4,KTLX20200130_131552_V06,-14.383,0.806,253.708,329.842,9.384,-97.532,35.198,4691.803,27538.460,20200130_071552
4,KTLX20200130_132531_V06,-4.733,0.342,256.037,329.513,18.253,-97.519,35.200,9126.510,26475.514,20200130_072531
4,KTLX20200130_133510_V06,4.917,0.061,259.862,332.052,19.781,-97.498,35.188,9890.450,25682.783,20200130_073510
8,KTLX20200130_133510_V06,4.917,0.065,280.905,358.374,10.452,-97.382,35.070,5225.796,30708.912,20200130_073510
8,KTLX20200130_134449_V06,14.567,0.060,281.039,360.554,21.642,-97.381,35.060,10820.829,31726.585,20200130_074449
1,KTLX20200130_130612_V06,-24.050,0.134,194.058,318.565,2.932,-97.860,35.248,1466.026,53778.151,20200130_070612
5,KTLX20200130_131552_V06,-14.383,0.113,340.493,403.479,9.351,-97.056,34.866,4675.657,55559.828,20200130_071552
6,KTLX20200130_133510_V06,4.917,0.263,231.561,247.953,6.421,-97.655,35.567,3210.337,42990.852,20200130_073510
2,KTLX20200131_131817_V06,-11.253,0.060,263.138,325.000,16.725,-97.480,35.220,8362.297,22269.889,20200131_071817
2,KTLX20200131_132756_V06,-1.603,0.423,265.689,324.117,30.947,-97.466,35.224,15473.315,20969.217,20200131_072756
1,KTLX20200131_131817_V06,-11.253,0.080,235.987,257.673,4.690,-97.630,35.523,2345.095,38370.823,20200131_071817
3,KTLX20200131_132756_V06,-1.603,0.191,288.201,352.976,8.122,-97.342,35.094,4061.192,27137.174,20200131_072756
6,KTLX20200131_132756_V06,-1.603,0.066,362.363,424.687,3.043,-96.937,34.771,1521.563,69706.212,20200131_072756
1,KTLX20200201_133746_V06,8.970,0.082,200.152,177.278,3.401,-97.830,35.885,1700.302,79104.893,20200201_073746
1,KTLX20200202_131214_V06,-15.796,0.664,260.766,329.941,9.137,-97.493,35.198,4568.285,24676.753,20200202_071214
1,KTLX20200202_131553_V06,-12.146,0.183,260.292,329.559,15.321,-97.496,35.200,7660.417,24750.929,20200202_071553
1,KTLX20200202_131931_V06,-8.513,0.625,263.615,324.802,24.977,-97.477,35.221,12488.597,22017.217,20200202_071931
1,KTLX20200202_132308_V06,-4.896,0.508,264.497,323.795,30.551,-97.472,35.226,15275.658,21369.699,20200202_072308
1,KTLX20200202_132646_V06,-1.263,0.093,265.431,322.467,34.171,-97.467,35.232,17085.486,20613.873,20200202_072646
3,KTLX20200202_131214_V06,-15.796,0.502,419.564,498.962,9.729,-96.627,34.435,4864.745,116061.959,20200202_071214
3,KTLX20200202_131553_V06,-12.146,0.475,420.606,498.779,14.881,-96.621,34.435,7440.491,116252.789,20200202_071553
3,KTLX20200202_131931_V06,-8.513,0.501,424.394,497.900,18.491,-96.601,34.439,9245.287,116874.169,20200202_071931
3,KTLX20200202_132308_V06,-4.896,0.158,426.482,496.904,22.320,-96.589,34.444,11160.112,117013.812,20200202_072308
3,KTLX20200202_132646_V06,-1.263,0.053,416.835,505.964,38.214,-96.642,34.403,19107.027,118397.149,20200202_072646
2,KTLX20200202_131214_V06,-15.796,0.502,232.484,258.513,6.760,-97.650,35.519,3379.908,39621.799,20200202_071214
2,KTLX20200202_131553_V06,-12.146,0.127,233.304,258.210,12.451,-97.645,35.521,6225.434,39353.576,20200202_071553
10,KTLX20200202_132308_V06,-4.896,0.669,479.289,338.899,11.486,-96.294,35.154,5742.924,91730.255,20200202_072308
10,KTLX20200202_132646_V06,-1.263,0.129,479.813,339.226,16.741,-96.291,35.152,8370.626,92020.733,20200202_072646
6,KTLX20200202_131553_V06,-12.146,0.063,388.462,457.720,7.929,-96.795,34.621,3964.272,90417.331,20200202_071553
7,KTLX20200202_131553_V06,-12.146,0.056,397.619,422.441,5.199,-96.744,34.780,2599.533,78296.411,20200202_071553
8,KTLX20200202_131931_V06,-8.513,0.596,277.943,404.692,5.827,-97.398,34.861,2913.254,53495.308,20200202_071931
2,KTLX20200203_132237_V06,-4.621,0.074,253.525,304.465,21.910,-97.533,35.313,10954.941,23344.423,20200203_072237
2,KTLX20200203_133216_V06,5.029,0.148,253.921,300.777,32.167,-97.531,35.329,16083.291,23042.761,20200203_073216
1,KTLX20200203_131258_V06,-14.271,0.076,231.779,249.458,4.902,-97.654,35.560,2450.865,42451.442,20200203_071258
7,KTLX20200204_130721_V06,-19.069,0.133,324.268,361.000,27.184,-97.144,35.058,13592.098,32825.205,20200204_070721
7,KTLX20200204_131036_V06,-15.819,0.143,324.294,361.049,32.188,-97.144,35.058,16094.026,32852.585,20200204_071036
7,KTLX20200204_131352_V06,-12.553,0.169,341.345,356.597,23.720,-97.051,35.078,11860.180,35045.016,20200204_071352
7,KTLX20200204_131708_V06,-9.286,0.095,340.883,355.849,29.165,-97.053,35.081,14582.561,34606.801,20200204_071708
1,KTLX20200205_131255_V06,-12.660,0.052,14.769,126.692,22.613,-98.861,36.104,11306.475,166877.594,20200205_071255
2,KTLX20200205_131717_V06,-8.293,0.067,33.215,440.038,53.438,-98.733,34.693,26719.208,150652.754,20200205_071717
3,KTLX20200205_132601_V06,0.440,0.114,25.659,256.447,41.369,-98.790,35.520,20684.700,138888.383,20200205_072601
1,KTLX20200206_132622_V06,1.657,0.623,261.880,322.065,24.342,-97.487,35.233,12170.866,22022.599,20200206_072622
2,KTLX20200206_132622_V06,1.657,0.091,279.768,395.586,2.730,-97.388,34.902,1365.183,48851.888,20200206_072622
1,KTLX20200207_130856_V06,-14.885,0.108,253.413,340.615,5.812,-97.533,35.150,2906.160,30902.968,20200207_070856
1,KTLX20200207_131836_V06,-5.219,0.239,253.755,335.273,18.890,-97.531,35.174,9444.916,29080.854,20200207_071836
1,KTLX20200207_132815_V06,4.431,0.353,261.208,334.136,28.679,-97.490,35.179,14339.427,25836.350,20200207_072815
2,KTLX20200207_140651_V06,43.031,0.398,25.621,431.495,38.696,-98.775,34.731,19347.931,152130.578,20200207_080651
3,KTLX20200208_132026_V06,-2.471,0.335,358.499,281.490,6.344,-96.955,35.416,3171.944,30678.841,20200208_072026
3,KTLX20200208_133005_V06,7.179,0.068,359.062,281.132,14.725,-96.952,35.418,7362.376,31001.265,20200208_073005
3,KTLX20200208_133944_V06,16.829,0.161,368.488,282.668,22.453,-96.900,35.411,11226.699,35323.422,20200208_073944
2,KTLX20200208_131047_V06,-12.121,0.123,261.102,328.838,11.800,-97.491,35.203,5899.761,24210.906,20200208_071047
5,KTLX20200208_133005_V06,7.179,0.122,240.152,194.520,4.551,-97.609,35.808,2275.738,60638.029,20200208_073005
1,KTLX20200209_131231_V06,-9.451,0.740,253.193,312.236,10.001,-97.535,35.278,5000.490,24189.926,20200209_071231
1,KTLX20200209_132210_V06,0.199,0.464,258.938,310.203,23.754,-97.503,35.287,11877.172,21155.303,20200209_072210
1,KTLX20200209_133150_V06,9.866,0.167,261.619,310.908,25.654,-97.488,35.284,12827.144,19950.544,20200209_073150
1,KTLX20200210_132720_V06,6.325,0.629,290.810,251.210,12.642,-97.328,35.553,6321.056,24823.785,20200210_072720
